Date _Time,Restaurant Name,Food Category,Delivery Fee (CAD),Total Cost (CAD),Delivery Time (Minutes),Customer Rating,Payment Method,Delivery Count,Location
2021-01-01 18:26,McDonalds,Mediterranean,4.099880063,35.24780202,52.98505411,4.526698041,Debit Card,92,Toronto
2021-01-02 0:55,McDonalds,Mediterranean,6.64972382,48.03735381,44.33400186,2.578640352,Gift Card,56,Toronto
2021-01-03 17:25,Burger King,Vegan,7.74534358,52.714623,37.77408784,3.746297168,Debit Card,141,Toronto
2021-01-04 9:39,Burger King,Indian,2.995375095,90.76168453,57.75983627,2.666368911,PayPal,132,Toronto
2021-01-05 3:04,Taco Bell,Italian,6.79677808,49.96307468,21.9135525,3.594108107,Debit Card,133,Toronto
2021-01-06 8:41,Pizza Hut,Fast Food,6.402810231,27.34412669,54.00687781,2.237729884,Credit Card,93,Toronto
2021-01-07 4:23,Starbucks,Mediterranean,6.111643574,59.56676976,59.90330372,3.424809014,Gift Card,89,Toronto
2021-01-08 20:48,Subway,Indian,7.520984941,96.85142955,55.47768444,3.095033986,Debit Card,184,Toronto
2021-01-09 17:41,Dominos,Mexican,8.699596761,66.65327949,52.41746342,1.097921063,Credit Card,74,Toronto
2021-01-10 16:42,Chipotle,American,4.583917465,98.58791374,34.97223974,4.162811615,Cash,108,Toronto
2021-01-11 2:02,Dominos,Mexican,9.112097521,86.49412126,29.25256729,1.047591329,Debit Card,190,Toronto
2021-01-12 19:39,A&W,Indian,3.285068901,18.05708928,49.39402082,2.172623769,Gift Card,152,Toronto
2021-01-13 5:00,Burger King,Chinese,3.384190958,70.96396561,32.18301465,1.023696262,Credit Card,135,Toronto
2021-01-14 13:52,Taco Bell,Chinese,4.134176509,39.37518459,27.04158729,2.504805653,Debit Card,161,Toronto
2021-01-15 18:10,Dominos,Indian,2.956246956,62.56743273,51.46103548,1.252642113,Cash,135,Toronto
2021-01-16 10:44,Pizza Hut,Vegan,3.842553797,38.74434123,32.50174609,4.654043867,Debit Card,147,Toronto
2021-01-17 14:33,Chipotle,Vegan,2.851294103,44.65398541,56.57766918,2.662717181,Credit Card,111,Toronto
2021-01-18 6:33,Dominos,Mediterranean,8.574019336,93.4693405,53.62530579,2.837983099,Debit Card,57,Toronto
2021-01-19 11:00,Chipotle,Japanese,3.111751935,32.56467072,53.90561318,2.399400944,Gift Card,162,Toronto
2021-01-20 23:48,KFC,Fast Food,7.97838046,89.29927503,50.86278904,3.510024617,PayPal,195,Toronto
2021-01-21 19:14,Pizza Hut,Mediterranean,2.383310943,17.58891369,55.23525695,4.137632466,Credit Card,109,Toronto
2021-01-22 1:08,Subway,Mexican,9.58816262,22.72450576,52.22987569,3.592586972,Credit Card,109,Toronto
2021-01-23 22:48,McDonalds,Fast Food,7.6892807,87.64737852,44.10045454,3.992828474,Credit Card,155,Toronto
